timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668435849481,1419,JDBC Request,200,OK,Thread Group 1-1,text,true,,9,0,15,15,null,1419,0,1343
1668435849743,1159,JDBC Request,200,OK,Thread Group 1-5,text,true,,9,0,15,15,null,1158,0,1084
1668435849675,1227,JDBC Request,200,OK,Thread Group 1-4,text,true,,9,0,15,15,null,1226,0,1144
1668435849609,1293,JDBC Request,200,OK,Thread Group 1-3,text,true,,9,0,15,15,null,1292,0,1210
1668435849544,1358,JDBC Request,200,OK,Thread Group 1-2,text,true,,9,0,15,15,null,1358,0,1281
1668435849808,1116,JDBC Request,200,OK,Thread Group 1-6,text,true,,9,0,10,10,null,1116,0,1045
1668435849874,1138,JDBC Request,200,OK,Thread Group 1-7,text,true,,9,0,9,9,null,1137,0,1064
1668435849942,1136,JDBC Request,200,OK,Thread Group 1-8,text,true,,9,0,8,8,null,1136,0,1066
1668435850008,1148,JDBC Request,200,OK,Thread Group 1-9,text,true,,9,0,7,7,null,1148,0,1075
1668435850075,1118,JDBC Request,200,OK,Thread Group 1-10,text,true,,9,0,6,6,null,1117,0,1047
1668435850142,1131,JDBC Request,200,OK,Thread Group 1-11,text,true,,9,0,5,5,null,1131,0,1061
1668435850209,1139,JDBC Request,200,OK,Thread Group 1-12,text,true,,9,0,4,4,null,1139,0,1067
1668435850276,1129,JDBC Request,200,OK,Thread Group 1-13,text,true,,9,0,3,3,null,1129,0,1056
1668435850344,1129,JDBC Request,200,OK,Thread Group 1-14,text,true,,9,0,2,2,null,1129,0,1056
1668435850411,1128,JDBC Request,200,OK,Thread Group 1-15,text,true,,9,0,1,1,null,1128,0,1056
